Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Keyword#Original;Keyword;Criterion Type#Original;Criterion Type;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Type#Original;Type;Price qualifier;Language#Original;Language;Currency#Original;Currency;Header 1#Original;Header 1;Price 1;Unit 1;Final URL 1#Original;Final URL 1;Final mobile URL 1;Header 2#Original;Header 2;Price 2;Unit 2;Final URL 2#Original;Final URL 2;Final mobile URL 2;Header 3#Original;Header 3;Description 3#Original;Price 3;Unit 3;Final URL 3#Original;Final URL 3;Final mobile URL 3;Header 4#Original;Header 4;Description 4#Original;Price 4;Unit 4;Final URL 4#Original;Final URL 4;Final mobile URL 4;Header 5#Original;Header 5;Description 5#Original;Description 5;Price 5;Unit 5;Final URL 5#Original;Final URL 5;Final mobile URL 5;Header 6#Original;Header 6;Description 6#Original;Description 6;Price 6;Unit 6;Final URL 6#Original;Final URL 6;Final mobile URL 6;Header 7#Original;Header 7;Description 7#Original;Description 7;Price 7;Unit 7;Final URL 7#Original;Final URL 7;Final mobile URL 7;Header 8#Original;Header 8;Description 8#Original;Description 8;Price 8;Unit 8;Final URL 8#Original;Final URL 8;Final mobile URL 8;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Direct Contact;Direct Contact;Bel Direct Met Onze Vegers;Bel Direct Met Onze Vegers;Voor Snelle Afspraken;Voor Snelle Afspraken;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Veegbeurt Inplannen;Veegbeurt Inplannen;Plan Uw Jaarlijkse Veegbeurt;Plan Uw Jaarlijkse Veegbeurt;Uw Afspraak Snel Geregeld;Uw Afspraak Snel Geregeld;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vaste Tarieven;Vaste Tarieven;€59,50 Incl. BTW en Voorrijkosten;€59,50 Incl. BTW en Voorrijkosten;Geen Verborgen Kosten;Geen Verborgen Kosten;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Over Ons;Over Ons;Wat Is De Schoorsteenbrigade;Wat Is De Schoorsteenbrigade;Lees Waar Wij Voor Staan;Lees Waar Wij Voor Staan;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Veelgestelde Vragen;Veelgestelde Vragen;Antwoord Op Praktische Vragen;Antwoord Op Praktische Vragen;Kosten, Planning En Werkwijze;Kosten, Planning En Werkwijze;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Veegbewijs Verzekering;Veegbewijs Verzekering;Ontvang Een Veegbewijs Per E-Mail;Ontvang Een Veegbewijs Per E-Mail;Geldig Voor Uw Verzekering;Geldig Voor Uw Verzekering;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recensies;Recensies;Lees Ervaringen Van Klanten;Lees Ervaringen Van Klanten;8,2/10 uit 450+ Beoordelingen;8,2/10 uit 450+ Beoordelingen;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;€59,50 All-In Eén Kanaal;€59,50 All-In Eén Kanaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Vaste Eerlijke Tarieven;Vaste Eerlijke Tarieven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Inclusief Veegbewijs;Inclusief Veegbewijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;8,2/10 uit 450+ Recensies;8,2/10 uit 450+ Recensies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Actief In Nijmegen;Actief In Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Erkend & Gecertificeerd;Erkend & Gecertificeerd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;;;024-7820524;024-7820524;NL;NL;Use account settings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
