Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Keyword#Original;Keyword;Criterion Type#Original;Criterion Type;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen;schoorsteen vegen;Phrase;Phrase;1.00;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger in de buurt;schoorsteenveger in de buurt;Exact;Exact;3.24;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen kuisen;schoorsteen kuisen;Exact;Exact;1.19;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schouw reinigen;schouw reinigen;Exact;Exact;3.33;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schouw laten kuisen;schouw laten kuisen;Exact;Exact;6.48;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenreiniging;schoorsteenreiniging;Exact;Exact;2.20;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveegbedrijf;schoorsteenveegbedrijf;Exact;Exact;2.11;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger;schoorsteenveger;Exact;Exact;1.72;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen;schoorsteen vegen;Exact;Exact;1.00;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schouwveger in de buurt;schouwveger in de buurt;Exact;Exact;1.29;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;Responsive search ad;Schoorsteenveger [Plaats];Schoorsteenveger [Plaats]; -;Schouw Kuisen in [Plaats];Schouw Kuisen in [Plaats]; -;Schoorsteen Laten Vegen;Schoorsteen Laten Vegen; -;Schouwveger [Plaats]; -;Bel De Schoorsteenbrigade; -;Schouwreiniging [Plaats]; -;8.4 uit 250+ Reviews; -;Attest Geldig Verzekering; -;Schouw Reinigen [Plaats]; -;Wij Kuisen Uw Schouw Proper; -;Boek Tijdig Voor Het Seizoen; -;Schoorsteenveegbedrijf DSB; -;DSB Wordt Aanbevolen Door 89%; -;Pas Betalen Na De Veegbeurt; -;Schouwveger In De Buurt Bel Nu; -;Laat Uw Schouw Of Schoorsteen Vakkundig Reinigen En Ontvang Na Afloop Een Geldig Attest.;Laat Uw Schouw Of Schoorsteen Vakkundig Reinigen En Ontvang Na Afloop Een Geldig Attest.; -;Heldere Tarieven, Vlot Ingepland En Uw Schouw Proper Gekuist In Regio [Plaats].;Heldere Tarieven, Vlot Ingepland En Uw Schouw Proper Gekuist In Regio [Plaats].; -;Schouwreiniging Met Attest Voor Uw Verzekering. Professioneel Uitgevoerd Door DSB.; -;Vermijd Roetophoping En Schouwbrand. Boek Uw Schoorsteenveegbeurt Eenvoudig Online.; -;[Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;Excellent;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1001021;1001021;[Plaats], Vlaanderen, België;[Plaats], Vlaanderen, België;City;2780000;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;Enabled;;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger uitsluitingen;Schoorsteenveger uitsluitingen;Shared negative keyword list;463;;;;;;;;;;;;;;;;;;;;;;Paused;;Enabled;;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Attest Voor Verzekering;Attest Voor Verzekering;Vaak Verplicht Voor Verzekeringen;Vaak Verplicht Voor Verzekeringen;Ontvangst Direct Na Vegen;Ontvangst Direct Na Vegen;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Verstopping Door Nesten?;Verstopping Door Nesten?;Laat Dit Snel Verwijderen;Laat Dit Snel Verwijderen;Voorkom Brand Door Kleine Takjes;Voorkom Brand Door Kleine Takjes;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nieuwe Schoorsteenkap?;Nieuwe Schoorsteenkap?;Ook Voor Schoorsteenkappen;Ook Voor Schoorsteenkappen;Certificaat Inbegrepen;Certificaat Inbegrepen;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vaste Kosten Veegbeurt;Vaste Kosten Veegbeurt;Vaste Prijs Per Reiniging;Vaste Prijs Per Reiniging;Altijd Vooraf Bekend;Altijd Vooraf Bekend;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hoe Werken Wij?;Hoe Werken Wij?;Bekijk Onze Werkwijze;Bekijk Onze Werkwijze;Proper En Erkend;Proper En Erkend;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Inspecteren Met Camera?;Inspecteren Met Camera?;Benieuwd Naar Staat Van Schoorsteen;Benieuwd Naar Staat Van Schoorsteen;Inspectie Met Camera Is Mogelijk;Inspectie Met Camera Is Mogelijk;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;De Schoorsteenbrigade;De Schoorsteenbrigade;Wat Is De Schoorsteenbrigade?;Wat Is De Schoorsteenbrigade?;Bekijk Wie Wij Zijn;Bekijk Wie Wij Zijn;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteen Laten Vegen;Schoorsteen Laten Vegen;Professionele Veegbeurt;Professionele Veegbeurt;Met Attest Voor Verzekering;Met Attest Voor Verzekering;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;Typen;Typen;"Houtkachel
Pelletkachel
Speksteenkachel
Open haard
Inzethaard
Inbouwhaard
Gaskachel
Gashaard
Mazoutkachel";"Houtkachel
Pelletkachel
Speksteenkachel
Open haard
Inzethaard
Inbouwhaard
Gaskachel
Gashaard
Mazoutkachel";;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;Services;Services;"Schoorsteen Kuisen
Schouw Vegen
Camera Inspectie
Vogelnest Verwijderen
Schoorsteenkap Plaatsen
Rookkanaal Plaatsen
Rookkanaal Reinigen";"Schoorsteen Kuisen
Schouw Vegen
Camera Inspectie
Vogelnest Verwijderen
Schoorsteenkap Plaatsen
Rookkanaal Plaatsen
Rookkanaal Reinigen";;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;Voorzieningen;Voorzieningen;"Attest inbegrepen
Betaal Achteraf
Vaste Veegprijs
Snelle Afspraak
Bewijs Voor Verzekering
Brandveiligheid";"Attest inbegrepen
Betaal Achteraf
Vaste Veegprijs
Snelle Afspraak
Bewijs Voor Verzekering
Brandveiligheid";;;;;;;;Paused;;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB BE [Klantnaam] | Search | Lokaal [Plaats];;;;;;;;;;;;;[];[];;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;89% Beveelt Ons Aan;89% Beveelt Ons Aan;;;;;;Paused;;Enabled;Approved;;
