Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Criterion Type;Keyword#Original;Keyword;Criterion Type#Original;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;schouw kuisen [Plaats];schouw kuisen [Plaats];Exact;2.87;;;; -; -; -;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;schoorsteenveger [Plaats];schoorsteenveger [Plaats];Exact;1.80;;;; -; -; -;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Phrase;schouw vegen [Plaats];schouw vegen [Plaats];Phrase;0.84;;;; -; -; -;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;schoorsteenreiniger [Plaats];schoorsteenreiniger [Plaats];Exact;0.84;;;; -; -; -;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;Responsive search ad;Schoorsteenveger [Plaats];Schoorsteenveger [Plaats]; -;Schouwveger [Plaats];Schouwveger [Plaats]; -;Schouw Laten Kuisen [Plaats];Schouw Laten Kuisen [Plaats]; -;Schoorsteen Laten Vegen; -;Schoorsteen Reinigen [Plaats]; -;Schouwveger [Klantnaam] [Plaats]; -;Voorkom Een Schoorsteenbrand; -;Schoorsteen Vegen Met Attest; -;Jaarlijks Schouw Onderhoud; -;Wij Laten Alles Proper Achter; -;Plan Uw Schouwveegbeurt Tijdig; -;Schouw Kuisen Met Attest; -;Schoorsteenveegbedrijf [Klantnaam]; -;Vaste Prijs Voor Schouwvegen; -;Bel Schoorsteenveger [Klantnaam]; -;Schoorsteenveger In [Plaats]? Laat Uw Schoorsteen Vegen Door [Klantnaam] Met Geldig Attest.;Schoorsteenveger In [Plaats]? Laat Uw Schoorsteen Vegen Door [Klantnaam] Met Geldig Attest.; -;Schouw Laten Kuisen In [Plaats]? Kies Voor Een Vaste Prijs En Een Propere Veegbeurt.;Schouw Laten Kuisen In [Plaats]? Kies Voor Een Vaste Prijs En Een Propere Veegbeurt.; -;Laat Uw Schoorsteen Professioneel Reinigen En Ontvang Na De Veegbeurt Een Geldig Attest.; -;Schouwveger Nodig? Plan Tijdig Uw Schouwreiniging En Voorkom Roet En Schoorsteenbrand.; -;Schouw-Kuisen;[Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;Excellent;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contacteer [Klantnaam];Contacteer [Klantnaam];Bel direct voor snelle afspraak;Bel direct voor snelle afspraak;Of vraag online een afspraak aan;Of vraag online een afspraak aan;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vaste Veegprijzen;Vaste Veegprijzen;All-In Prijs Per Veegbeurt;All-In Prijs Per Veegbeurt;Vooraf Besproken Per Telefoon;Vooraf Besproken Per Telefoon;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schouw Laten Kuisen;Schouw Laten Kuisen;Professioneel gereinigd;Professioneel gereinigd;Inclusief geldig attest;Inclusief geldig attest;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vogelnest Verwijderen;Vogelnest Verwijderen;Snel en veilig verwijderd;Snel en veilig verwijderd;Voorkom verstoppingen;Voorkom verstoppingen;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Onze Werkwijze;Onze Werkwijze;Duidelijke stappen;Duidelijke stappen;Netjes en professioneel;Netjes en professioneel;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Attest Inbegrepen;Attest Inbegrepen;Geldig voor verzekering;Geldig voor verzekering;Na iedere veegbeurt;Na iedere veegbeurt;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenkap plaatsen;Schoorsteenkap plaatsen;Nieuwe schoorsteenkap plaatsen;Nieuwe schoorsteenkap plaatsen;Inclusief certificaat;Inclusief certificaat;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Camera Inspectie;Camera Inspectie;Bekijk de staat van uw schoorsteen;Bekijk de staat van uw schoorsteen;Camera inspectie mogelijk;Camera inspectie mogelijk;[];Advertiser;Advertiser;[url]?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Actief in [Plaats];Actief in [Plaats];;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Professioneel Gekuist;Professioneel Gekuist;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Transparante tarieven;Transparante tarieven;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Attest inbegrepen;Attest inbegrepen;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Betaal Achteraf;Betaal Achteraf;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Proper Achtergelaten;Proper Achtergelaten;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;Snelle Afspraak;Snelle Afspraak;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;[];;;;;;;;;;;Schoorsteenveger [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];Advertiser;Advertiser;;;;;;;;[Nummer];[Nummer];BE;BE;Use account settings;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2056;2056;België;België;Country;12100000;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;Enabled;;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2276;2276;Duitsland;Duitsland;Country;83100000;;;;;;;;Campaign Negative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;Enabled;;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2250;2250;Frankrijk;Frankrijk;Country;73300000;;;;;;;;Campaign Negative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;Enabled;;;
