Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Criterion Type;Keyword#Original;Keyword;Criterion Type#Original;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;IP address#Original;IP address;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[AantalJaren] Jaar Garantie;[AantalJaren] Jaar Garantie;Zekerheid op uitgevoerd werk;Zekerheid op uitgevoerd werk;Ook nadien bereikbaar;Ook nadien bereikbaar;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Daklekkage;Daklekkage;Vochtplek of actief daklek;Vochtplek of actief daklek;24 op 24 bereikbaar;24 op 24 bereikbaar;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakpannen En Leien;Dakpannen En Leien;Herstellen of volledig vervangen;Herstellen of volledig vervangen;Voor hellende daken;Voor hellende daken;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;All;;;;;;;;;;;;Optimize;;;;Audience segments;"Audience segments;Genders;Ages;Parental status;Household incomes";;;;Dakherstellingen;Dakherstellingen;3.52;0.20;;;0.01;;0.01;;;None;Disabled;Disabled;Enabled;Standard;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;;;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Phrase;dakherstellingen;dakherstellingen;Phrase;4.53;;;; -; -; -;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dakherstellingen;dakherstellingen;Exact;4.53;;;; -; -; -;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;Responsive search ad;Dakherstelling [Plaats];Dakherstelling [Plaats]; -;[Klantnaam] Dakwerken;[Klantnaam] Dakwerken; -;Dak Laten Herstellen;Dak Laten Herstellen; -;Kleine Dakherstellingen; -;Dakbedekking Herstellen; -;Roofing En EPDM Herstellen; -;Losse Dakpannen Herstellen; -;Probleem Rond Schouw Of Goot; -;Voor Plat Dak En Pannendak; -;Geen Lapwerk Maar Goed Herstel; -;[AantalJaren] Jaar Garantie; -;[ReviewHeadline]; -;24 Op 24 Hulp Bij Dakschade; -;Duidelijke Kost Voor De Start; -;Laat Schade Niet Groter Worden; -;[Klantnaam] herstelt roofing, EPDM, dakpannen en lekkende aansluitingen.;[Klantnaam] herstelt roofing, EPDM, dakpannen en lekkende aansluitingen.; -;Voor dak herstellen, dakbedekking herstellen en kleine dakherstellingen.;Voor dak herstellen, dakbedekking herstellen en kleine dakherstellingen.; -;Geen snelle lapoplossing, maar degelijk herstel met duidelijke afspraken vooraf.; -;[AantalJaren] Jaar Garantie, [ReviewDescription] en 24 op 24 bereikbaar bij dringende dakschade.; -;dakherstel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;Poor;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 Op 24 Bereikbaar;24 Op 24 Bereikbaar;Bij dringende dakproblemen;Bij dringende dakproblemen;Snelle beoordeling van schade;Snelle beoordeling van schade;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dak Herstellen;Dak Herstellen;Voor kleine en grote dakschade;Voor kleine en grote dakschade;Geen lapwerk maar goed herstel;Geen lapwerk maar goed herstel;[];Advertiser;Advertiser;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakbedekking Herstellen;Dakbedekking Herstellen;Roofing, EPDM en dakpannen;Roofing, EPDM en dakpannen;Laat schade grondig aanpakken;Laat schade grondig aanpakken;[];Advertiser;Advertiser;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/schouw-lood-en-aansluitingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Schouw En Aansluiting;Schouw En Aansluiting;Herstel rond lood en doorvoeren;Herstel rond lood en doorvoeren;Gericht aangepakt na controle;Gericht aangepakt na controle;[];Advertiser;Advertiser;[url]/schouw-lood-en-aansluitingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Herstel Met Garantie;Herstel Met Garantie;[AantalJaren] jaar zekerheid op het werk;[AantalJaren] jaar zekerheid op het werk;Heldere offerte vóór de start;Heldere offerte vóór de start;[];Advertiser;Advertiser;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakherstellingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kleine Dakherstellingen;Kleine Dakherstellingen;Losse pannen en kleine lekken;Losse pannen en kleine lekken;Voorkom grotere vervolgschade;Voorkom grotere vervolgschade;[];Advertiser;Advertiser;[url]/dakherstellingen/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;All;;;;;;;;;;;;Optimize;;;;Audience segments;"Audience segments;Genders;Ages;Parental status;Household incomes";;;;Dakrenovatie;Dakrenovatie;3.52;0.01;;;0.01;;0.01;;;None;Disabled;Disabled;Enabled;Standard;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;;;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakrenovatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dak renoveren;dak renoveren;Exact;7.06;;;; -; -; -;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakrenovatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dakrenovatie;dakrenovatie;Exact;6.58;;;; -; -; -;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakrenovatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Phrase;dak renoveren;dak renoveren;Phrase;7.06;;;; -; -; -;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakrenovatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Phrase;dakrenovatie;dakrenovatie;Phrase;6.58;;;; -; -; -;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakrenovatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;Responsive search ad;Dakrenovatie [Plaats];Dakrenovatie [Plaats]; -;[Klantnaam] Dakwerken;[Klantnaam] Dakwerken; -;Uw Dak Klaar Voor De Toekomst;Uw Dak Klaar Voor De Toekomst; -;Dak Laten Vernieuwen; -;Dak Laten Vervangen; -;Dakbedekking Vervangen; -;Nieuw Dak Met Vaste Afspraken; -;Plat Dak Laten Renoveren; -;Hellend Dak Renoveren; -;Volledig Nieuw Dak; -;[AantalJaren] Jaar Garantie; -;[ReviewHeadline]; -;Eén Bedrijf, Eén Aanspreekpunt; -;Offerte Zonder Verrassingen; -;Ook Buiten Kantooruren; -;Laat [Klantnaam] uw dak vernieuwen met heldere afspraken en [AantalJaren] Jaar Garantie.;Laat [Klantnaam] uw dak vernieuwen met heldere afspraken en [AantalJaren] Jaar Garantie.; -;Voor dakrenovatie, dak vervangen en nieuwe dakbedekking in [Plaats].;Voor dakrenovatie, dak vervangen en nieuwe dakbedekking in [Plaats].; -;Plat of hellend dak renoveren? Ontvang eerlijk advies en een duidelijke offerte.; -;[ReviewHeadline] en 24 op 24 bereikbaar bij dringende dakproblemen.; -;dakrenovatie;[Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;Excellent;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakrenovatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plat Dak Renoveren;Plat Dak Renoveren;Nieuwe roofing of EPDM;Nieuwe roofing of EPDM;Degelijk en waterdicht uitgevoerd;Degelijk en waterdicht uitgevoerd;[];Advertiser;Advertiser;[url]/dakrenovatie/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Disapproved;;
